Time,Pos_mocap_X,Pos_mocap_Y,Pos_mocap_Z
5.655,0.0967055392513348,-0.106977325400743,0.224343070497018
5.66,0.0968429373294983,-0.107122383121994,0.224361625232972
5.665,0.0969803354076618,-0.107267440843245,0.224380179968926
5.67,0.0971177334858253,-0.107412498564496,0.224398734704881
5.675,0.100291123639956,-0.109213360930551,0.226526147690543
5.68,0.101147180117056,-0.10966835353901,0.227419731799672
5.685,0.101857798734912,-0.110225007056024,0.228087114540172
5.69,0.102448441353228,-0.110752054043473,0.228827991762587
5.695,0.103051482891853,-0.111199972847004,0.229480551857299
5.7,0.103554022669249,-0.111987770710603,0.229899008195538
5.705,0.10423834476229,-0.112441180908156,0.230449421003705
5.71,0.104801178012137,-0.112913580402483,0.230805398831122
5.715,0.105367786162718,-0.113306728254737,0.231088155466228
5.72,0.105879716326633,-0.113650882904476,0.231256344366694
5.725,0.106381920293471,-0.113968821279326,0.23139237388239
5.73,0.106899021481488,-0.114282718739956,0.231521261322175
5.735,0.107372184911325,-0.114667455370494,0.231529324429123
5.74,0.107848957018113,-0.115085983071529,0.231439101773249
5.745,0.10830567188711,-0.115245338170987,0.231437804191571
5.75,0.108682140007915,-0.11553481139526,0.231336652415844
5.755,0.109192884424718,-0.11587416771932,0.231261318295656
5.76,0.109628158831413,-0.116102707365934,0.231193672966956
5.765,0.110039203550368,-0.116335826316188,0.231095624844489
5.77,0.110458261731983,-0.11656003393228,0.230949284401212
5.775,0.110911046662146,-0.116810871436501,0.230803623233452
5.78,0.11140828011909,-0.117187255250901,0.230626190211009
5.785,0.111927209955837,-0.117660611453995,0.23037153238913
5.79,0.112433226752131,-0.118031266696166,0.230157035533308
5.795,0.112931042798725,-0.118362384985665,0.229985683636112
5.8,0.113405201945567,-0.118698213533655,0.229874860215275
5.805,0.113887279718102,-0.118857002742357,0.229817020633852
5.81,0.114329554403814,-0.119130287230348,0.229705084711383
5.815,0.114677179230056,-0.119499941957506,0.229571476409014
