Time,orient_mocap_X,orient_mocap_Y,orient_mocap_Z
39.595,0.0183632923620213,0.116143936019134,3.26173828638392
39.6,0.0193307705503778,0.117500065590249,3.26213684784821
39.605,0.021025059777163,0.11877947495829,3.26244521245142
39.61,0.022867058848024,0.121945433777466,3.26287247779012
39.615,0.0239217719543583,0.123592316135004,3.26341005088322
39.62,0.0250329608258182,0.123978471838302,3.2640490773821
39.625,0.0256094536650175,0.12367701061068,3.26468316383882
39.63,0.0256517574378847,0.124417396705014,3.26525265292068
39.635,0.0259670601353618,0.124770030093968,3.26571329584209
39.64,0.026619578378456,0.124704103935757,3.26614254931512
39.645,0.0267559840765704,0.124709921568719,3.2664924610882
39.65,0.026892391376249,0.124715719408625,3.26683114579468
39.655,0.0270288002789644,0.12472149745543,3.26757384911456
39.66,0.0271652107861881,0.124727255709094,3.26843668285896
39.665,0.0273016228993924,0.124732994169572,3.26935975701604
39.67,0.0274380366200486,0.124738712836822,3.27050746605098
39.675,0.0268484982218427,0.123210730815904,3.27179239907164
39.68,0.0248814936643907,0.120974614681007,3.27298450244989
39.685,0.0239046648512426,0.120639258031335,3.27426765576179
39.69,0.0221190779850863,0.120214131088895,3.27567296260912
39.695,0.0196558182352395,0.119856091541342,3.27722821518913
39.7,0.0198678530797008,0.118884808032349,3.27896170871858
39.705,0.0181916773251801,0.118265874717588,3.28054725367918
39.71,0.0155329788685095,0.117255131385319,3.28213458245857
39.715,0.0127194890085041,0.116267247518588,3.28373246031712
39.72,0.00990018831005206,0.115532575626419,3.28511558638289
39.725,0.00976738767043685,0.114568155420226,3.28655097487479
39.73,0.0122282536918013,0.113300029355408,3.28837633747444
39.735,0.00981184718316535,0.112565885452222,3.29012334632882
39.74,0.00786626873108915,0.112000729057722,3.29168647676663
39.745,0.00632027723665608,0.11130484764798,3.29303790525802
39.75,0.00571512512861017,0.111063021689741,3.29471984493868
39.755,0.00598794818836859,0.110552019766039,3.29630843491601
39.76,0.00645932229615537,0.109961033407003,3.29768613043789
39.765,0.00693093733706797,0.109370304555124,3.29921074700315
39.77,0.00463090854759127,0.106803200718512,3.30092411751339
39.775,0.00510117452044581,0.105456473500994,3.302573265952
39.78,0.00554101980662798,0.103779339157932,3.30390987987922
39.785,0.00511551972727292,0.103290446753692,3.30513326062799
39.79,0.00420886459050525,0.102195592939621,3.30645652629763
39.795,0.00398204961950282,0.102045215941156,3.30810012815846
39.8,0.00331999242107153,0.10200158316513,3.3093508131129
39.805,0.00284923087550637,0.101077984266522,3.31053049222777
39.81,0.00318823921524908,0.0998886630200568,3.31174866899674
39.815,0.00289064924896151,0.09886050053617,3.31292652968057
39.82,0.000851535790495373,0.0981801666181162,3.31410207513896
39.825,0.000112898039909847,0.0975654108024212,3.31502278822388
39.83,0.00154962029091047,0.0958831882898925,3.31600426098928
39.835,0.00136391634847079,0.0943494401594225,3.3171431367498
39.84,-0.00141015638289266,0.0922737071047056,3.31813871422844
39.845,-0.00188418029136367,0.0913320211665069,3.31903334521017
39.85,-0.00313902707773405,0.0911355796348415,3.3198628142904
39.855,-0.00452949081441721,0.0908867351974539,3.32070225526048
39.86,-0.00696838905225432,0.0877813798873896,3.32154882923625
39.865,-0.00746402609643073,0.0856903591210514,3.32222086857534
39.87,-0.00672065337231074,0.0854199091826491,3.3237267832649
39.875,-0.00597748394631686,0.0851490046463713,3.32575124376141
39.88,-0.00523451732101319,0.084877645523922,3.32783139384169
39.885,-0.00449175299845403,0.0846058318268563,3.32989045114005
39.89,0.0135023650662664,0.0878765787574862,3.33228853880831
39.895,0.0197345994238434,0.0880858080189967,3.3346085339972
39.9,0.0230962996354343,0.0891693488480393,3.33695271328449
39.905,0.0275756370951453,0.0897702712603632,3.3394460416818
39.91,0.0303836111416669,0.089984517996879,3.34197124065613
39.915,0.032044896036124,0.0895365387283621,3.3444030433044
39.92,0.0340156516149547,0.0882320692916389,3.34575649013287
39.925,0.0361582614442394,0.0868881942439254,3.3467011372866
39.93,0.0372762521372965,0.0865449614440816,3.34757457245983
39.935,0.0360309321079941,0.0860167822262123,3.34847058298453
39.94,0.0342865174686961,0.085073182448822,3.34915525020786
39.945,0.0363472133239709,0.0840274213698082,3.34982163350823
39.95,0.037071320543028,0.0831571182691442,3.35043405773236
39.955,0.0373007087330876,0.0817468780346543,3.3507341328783
39.96,0.0364326756776457,0.0803835611357076,3.35083442508406
39.965,0.0368086182154424,0.0797860708465444,3.35097208576432
39.97,0.0372981913220072,0.0792388809065901,3.35111378026368
39.975,0.0374714664833251,0.0783269006518855,3.35133176467953
39.98,0.0387778175850719,0.0773963062720093,3.35148736288396
39.985,0.0387399858110252,0.0773115353565298,3.35149888914745
39.99,0.0394225783616461,0.0773592582185268,3.35141630415071
39.995,0.0408016573075955,0.0774673622797353,3.35122066367875
40,0.0405086823329064,0.0776543538290001,3.35095221428425
40.005,0.0416780361107528,0.0771335558239575,3.35067192860016
40.01,0.0412934470121041,0.077075852147199,3.35030120485066
40.015,0.0396035461010443,0.0772459839340299,3.34987753406284
40.02,0.0384429940426345,0.077497280040456,3.34928242511034
40.025,0.0385203647682253,0.0779447648907881,3.34856858145226
40.03,0.0380907211509343,0.0777239869683223,3.34784329252761
40.035,0.0346150629610868,0.0779989994841462,3.34709653842496
40.04,0.0355644163469778,0.0794740853551125,3.34634259339942
40.045,0.0349542222295972,0.0795100003439612,3.34564581996484
40.05,0.0344010785813982,0.0802245021052416,3.34500628989323
40.055,0.0343526307489728,0.0806708286581586,3.34449644555388
40.06,0.0341592708011392,0.0810684623896384,3.34383193665032
40.065,0.0334573037355848,0.0815436797761928,3.34324928160183
40.07,0.0327554269253662,0.0820190821892166,3.34272338482904
40.075,0.0320536395306507,0.0824946697577905,3.34189143710375
40.08,0.0249241602048477,0.0840830362904033,3.34099607158648
40.085,0.0228444548755074,0.0855076633219276,3.34019550644533
40.09,0.0215943395146382,0.0858895593143452,3.33929601282366
40.095,0.0196144494337604,0.0861021493002261,3.33828887986728
40.1,0.0178536237935459,0.0867451471376373,3.33726251624235
40.105,0.016861409817388,0.0877892032877849,3.33614752491878
40.11,0.0170619824502283,0.0880133106017703,3.33527953976814
40.115,0.0161495587058617,0.0883830481183084,3.33438297209478
40.12,0.0138424818899118,0.0891830550194491,3.33351040738025
40.125,0.01227414077133,0.0897459533892208,3.3328340894743
40.13,0.0122793110408235,0.0899728909780464,3.33213143722432
40.135,0.0108035689094359,0.0906881520568947,3.33133027472496
40.14,0.0100128749452559,0.091482761501111,3.33060189218289
40.145,0.00861382245420428,0.0919745294179267,3.3299714122252
40.15,0.00924458894948705,0.0922086337790773,3.32942524653325
40.155,0.0104954302527152,0.0925209824527877,3.32901594932623
40.16,0.012215519524723,0.0930118882205905,3.32873897150709
40.165,0.0135391517482954,0.0946427903321441,3.32845746414599
40.17,0.01492486279243,0.0974575190650608,3.32813993387268
40.175,0.0168240890769783,0.100810887307371,3.32805317417244
40.18,0.0180208011011849,0.104284498637249,3.32792352645904
