Time,FL0_vel,FL1_vel,FL2_vel,FR0_vel,FR1_vel,FR2_vel,RL0_vel,RL1_vel,RL2_vel,RR0_vel,RR1_vel,RR2_vel
27.365,-0.0994263861173808,-0.348627074797945,-0.0998476600198551,0.0495153341637512,0.921178495518908,-2.73343389530292,-1.00661301778977,1.69978592594178,-3.13612631828819,0.469253217580698,-0.167062469998641,0.0290321302756187
27.37,-0.131342322122511,-0.331147483757102,-0.0870226080636301,0.0295322704428107,0.741881945373678,-2.32413137920399,-0.991645222880035,1.5675418976131,-2.75304436252296,0.465042801094929,-0.129025869826016,0.0189900165693199
27.375,-0.178790574678439,-0.331258959851557,-0.0989536939301658,0.0308520630965368,0.610304386285246,-1.99911683111587,-1.03245968113182,1.47320844301103,-2.43049253708786,0.47522281651721,-0.113124234642063,0.0193254778317232
27.38,-0.219541582341949,-0.34016618661378,-0.128384249250909,0.0121245549161437,0.433928746050722,-1.66225280077773,-1.11705277805249,1.37912511582826,-2.12221879664369,0.52707085501089,-0.108991892356752,0.0282681882305836
27.385,-0.217088245513795,-0.303781727072175,-0.133629174872754,-0.0268113077939677,0.179938073991642,-1.15237522588148,-1.05758162477842,1.13539114227187,-1.6136843258727,0.524037471480706,-0.0683363821123866,0.0172012597960124
27.39,-0.226673843890046,-0.246491981255622,-0.108114818507633,-0.0727146311653648,-0.0390718626095272,-0.611379248125176,-0.917574065293975,0.864966770510224,-1.00982310358272,0.490057700187457,0.0159755632751184,0.0333855607896155
27.395,-0.245716745292869,-0.227048394207088,-0.0914011166992272,-0.14148407708565,-0.242035271419695,-0.14020698040118,-0.93503771505515,0.746734577429752,-0.531217850948561,0.534166183824359,0.040709188780971,0.0619404447501394
27.4,-0.226134939459719,-0.226168067430378,-0.111768884059564,-0.227004418100819,-0.512160834266433,0.442230124078013,-0.994409511156562,0.580402207799058,0.022899225246061,0.618083527982264,0.0473659579123349,0.0579375404312987
27.405,-0.170436254559582,-0.206434792398017,-0.130237702965895,-0.274271294853888,-0.72319921075218,0.952489700484287,-0.913890153657237,0.295159858508559,0.491022617416146,0.619106566971444,0.0737409010642605,0.0464053474763786
27.41,-0.128293603701973,-0.164816268246429,-0.112050660451856,-0.279449503996924,-0.854994967344303,1.36967883934629,-0.798821707949563,0.025600223524319,0.876389285369614,0.563705999217322,0.0983881995082383,0.0439521971174491
27.415,-0.118583157964572,-0.150969548278403,-0.0971975171728804,-0.303613867623839,-1.04785574142367,1.80322012048456,-0.806473082239425,-0.150237046145573,1.29382719130491,0.578502383496893,0.0981559754840401,0.0443478512096955
27.42,-0.123019948100682,-0.131550736666792,-0.092860515600412,-0.329206414912764,-1.26480046921473,2.20212066991324,-0.832320913139409,-0.292506940509466,1.68423548577341,0.601595458732431,0.119524829329746,0.0357662331054353
27.425,-0.0993659090229212,-0.112644948531032,-0.0936145148723562,-0.350698689639531,-1.42632142740042,2.50248066531211,-0.827641471787985,-0.435873690361271,2.0007259753147,0.614069723449407,0.157750761058577,0.0286194473534598
27.43,-0.0416433872940275,-0.10553721069987,-0.110501190965332,-0.436022813719145,-1.71138590179787,3.0832410963256,-0.88262035336339,-0.657818305603532,2.39131304471562,0.692733779454823,0.18542253484594,0.0107548956692176
27.435,-0.0115594085961592,-0.083888112458009,-0.110745398920142,-0.525765040170557,-1.93922445402801,3.56686797374944,-0.895136299655984,-0.840336136973203,2.71192728905699,0.736618098965772,0.212121675848511,-0.00820538894340411
27.44,-0.00709756617971322,-0.0537767679997649,-0.0814654859785565,-0.526786668545155,-1.94849731514913,3.61928532836773,-0.808571577402816,-0.907619713785505,2.88685215539072,0.700373418270434,0.236450261823608,-0.0017227723080501
27.445,-0.00282606776525246,-0.0452689192495942,-0.0694584687731265,-0.507358344564058,-2.01676903617654,3.78965491871561,-0.7876749400899,-0.976504338869591,3.08473659553636,0.698994741787842,0.24306882900186,0.0056387925459223
27.45,-0.00183989865797625,-0.0345692615578057,-0.0778676508261615,-0.48016610199492,-2.18611290852166,4.09631502064157,-0.837996446008201,-1.07315477537421,3.32019544309937,0.710097615081749,0.254712823196586,0.00199709570627381
27.455,0.00948044979322351,-0.017831362842031,-0.100146915710202,-0.445852406893489,-2.27060163628315,4.27982121743226,-0.907432652481704,-1.16454678377852,3.51592407044401,0.731199262877751,0.26151191157137,0.000670350671310795
27.46,0.0404007935923893,0.000265184337084732,-0.114000442810122,-0.431633835180306,-2.29431459809765,4.44584587955312,-0.952223353759917,-1.25194594936198,3.65358526265817,0.759933633590897,0.266269288065344,-0.000364973298856924
27.465,0.04883898936826,0.00305623724544206,-0.103336091315162,-0.444408005412639,-2.29678325357234,4.58756842709534,-0.959357865592148,-1.30553509604601,3.72042433343804,0.782670418932895,0.285426945547257,-0.0052764245929486
27.47,0.0483828765975467,0.0109803482695954,-0.0971259516650685,-0.506025723184066,-2.43475258642921,4.87536735325647,-1.01979315263296,-1.39760726470739,3.98376729193407,0.835218365653437,0.316136235116729,-0.0032513655511794
27.475,0.0600405038496097,0.010570445006116,-0.100418625576231,-0.565370861141925,-2.62882575152267,5.21424810504436,-1.11628091560548,-1.49363909272002,4.27189889136978,0.892512979807865,0.325120238327114,0.002357980094627
27.48,0.0686660964271025,0.0100981413559344,-0.10438030182855,-0.55753473000481,-2.4926396519713,4.99738542709177,-1.10028764277426,-1.40027292092413,4.04614357729118,0.858275190267653,0.305520568112264,0.00495139914311455
27.485,0.0892826010169088,0.0109102303277129,-0.139047494562396,-0.52567242674617,-2.31804130722796,4.64296873122361,-1.04691920827792,-1.29265246325341,3.78641856955871,0.797153001939234,0.26695258610808,0.0109409625220281
27.49,0.126255960048862,0.00342048662827827,-0.177584630231161,-0.531666075638619,-2.28150836283138,4.66823563580834,-1.05686947506614,-1.29543038266155,3.80475625578487,0.788812893417643,0.229788517744903,0.0171347328304627
27.495,0.141925463293131,0.00969583036232888,-0.189511666467024,-0.534096474812726,-2.09534143037216,4.55893762472549,-1.04540446094852,-1.23218819006868,3.62215718514174,0.762202176194104,0.21657720000149,0.0169787234860848
27.5,0.156279688470641,0.00347691974500955,-0.27858298705329,-0.62555031036827,-2.12285547676368,4.770645196022,-1.28624403734488,-1.34784104891292,4.08433007568033,0.935604507410228,0.238294100863812,0.0263541925870972
27.505,0.223710611344849,0.0254586214930752,-0.491362883676357,-0.895406617460032,-2.1711248782645,4.76092579555667,-1.77792295298795,-1.59165968105902,5.18195118032183,1.31885367136875,0.284126903193699,0.0334050449854787
27.51,0.244295265155663,0.03475571773738,-0.530395937567164,-0.93273065503238,-1.97903662533917,4.32142568413949,-1.81903625131053,-1.53953636249028,5.19067909512647,1.35431700171253,0.300458382749004,0.0332656041309588
27.515,0.271101747792454,0.0373971609750474,-0.515757332953461,-0.847272339391239,-1.24148771682226,2.84229261997384,-1.65864022384268,-1.17450129513677,4.41545948119593,1.22222943061645,0.304224481997627,0.0358598083144424
27.52,0.252609435538461,-0.031439531304416,-0.399083420939368,-0.471197702563318,-0.189491580523205,0.998544230825473,-1.16047408458902,-0.609566575783297,2.54636044761644,0.779668241363428,0.230197967700472,0.0871604296853557
27.525,0.187925631240715,-0.101812506493554,-0.495335985396976,-0.221731428381027,0.0738425591848986,0.594487838901697,-0.765490987706554,-0.482435693405668,1.42474199147433,0.556051743890759,0.0715854361702677,0.25416873845202
27.53,0.0908628796442166,-0.0939364473444996,-0.367744818244148,-0.062293662876473,0.182017937388599,0.374154416635975,-0.297440795379882,-0.244580450005168,0.538682597564129,0.49216007709123,-0.0753415510660129,0.347631295946621
27.535,-0.00809528093691889,-0.207375032473573,-0.0483986429782165,0.00536005862042159,0.188864374648295,0.267055058671454,-0.0629736098359142,-0.113155177825875,0.179889977508555,0.533058655283016,-0.172187041595156,0.362398302899986
27.54,-0.24623437093712,-0.420765070149742,0.645464762496958,0.298859451729989,-0.154632160867793,0.207923597640413,0.177721733908615,-0.720513723553331,0.269190844441974,1.18849220498646,-0.495628440761071,0.385830410262682
27.545,-0.201341794417448,-0.584604211650446,1.21074915209542,0.289038493976741,0.016164102383661,0.519012173012485,0.326914282386195,-0.984434243996179,0.764926479358174,1.08501031625093,-0.752949573060143,-0.193663824728318
27.55,0.241185357976245,-0.659019943904794,0.156169181978586,0.139130704708604,0.611414072234442,0.802558642889407,0.569657633179653,-0.480192859371207,1.57310993030187,-0.43826175196283,-0.51074957974089,-1.44402181870699
27.555,0.349781093334292,-0.36210928283014,-1.27546960469623,0.157451400532646,0.568912411063436,0.701382964380211,1.02320046183235,-0.630699774184178,2.3867215579285,-0.856709241270327,-0.0179412127840729,-2.2223015395992
27.56,0.138987703313113,0.0354262885656456,-1.58599695964748,0.0766741539788248,0.303955348488427,0.488658178843339,0.989321436588387,-0.950128647926521,2.38186373382631,-0.308989719224217,0.391449537431737,-2.12252734074954
27.565,-0.0887653479302125,0.306712169181352,-1.64576737775435,-0.0167370345776583,0.195172911427859,0.335487128207309,0.56677743189777,-0.901081149368486,1.79946466055986,-0.0162928193259527,0.696071104856038,-1.92710678057307
27.57,-0.188844620291803,0.536757257644387,-1.91920707029042,-0.0150437651566964,0.217871747434555,0.387585586179374,0.360297571181342,-0.723227366474899,1.30629930644208,-0.197195870247168,0.778786216062688,-2.20808193027899
27.575,-0.0166130097446266,0.792671057026579,-2.19490958088715,-0.0400693673491674,0.216541718039914,0.491618899666774,0.45209879884092,-0.557797972407813,0.881929556639109,-0.357214647559566,0.788743418468553,-2.62510559926998
27.58,0.23985259743873,1.06747050673003,-2.28830053298508,-0.111229056953606,0.253700427570902,0.49646315925201,0.528236095743274,-0.371728505575551,0.600601757983648,-0.306063347045298,0.993010479557898,-2.93916563741329
27.585,0.444344493121883,1.43601890933386,-2.61788769154428,-0.0930804785937762,0.287479059896902,0.501173958783114,0.513014478164221,-0.180648935027703,0.489677063444039,-0.222851873377898,1.3841640395214,-3.53116137857822
27.59,0.538630896821514,1.54401269967843,-2.94468299810981,-0.0188377195976085,0.272474588129759,0.414632403391705,0.444760855771566,-0.0970788043425519,0.406368638442216,-0.161653086167229,1.52255032956743,-4.03563374959816
27.595,0.497676067102926,1.33899651904881,-3.05205035811986,0.0284794912198765,0.29120835249006,0.283041134655186,0.465628708148327,-0.114063412183266,0.225841656984098,-0.0948263503143694,1.43295346351316,-4.1625417574365
