Time,FL0_ang,FL1_ang,FL2_ang,FR0_ang,FR1_ang,FR2_ang,RL0_ang,RL1_ang,RL2_ang,RR0_ang,RR1_ang,RR2_ang
22.24,0.0348896004620972,1.11976469512631,-2.02207448205988,0.0163818707992558,1.01038794625367,-1.77434796200553,-0.170376366908622,0.831186870859308,-1.66186091138442,0.372207736968994,1.11308280999837,-2.01009620410967
22.245,0.032621091905088,1.12442460992351,-2.04187084012414,0.0181950988286888,1.01284849557558,-1.77432736088249,-0.169027845106815,0.833249886863808,-1.66180222728212,0.372172801585014,1.1209700717821,-2.03308140701092
22.25,0.0301274988145833,1.12880863740013,-2.0616657769882,0.0200498853539315,1.01515574570072,-1.7743944476779,-0.167693526809787,0.83540258889797,-1.66172771453857,0.372095693538238,1.12855299083781,-2.05565485679293
22.255,0.0274606891136337,1.13289149243931,-2.08093996932605,0.0216607686608602,1.01737933304958,-1.77456434788754,-0.166316983784721,0.837462440610083,-1.6617488338335,0.371889713542757,1.1358697013096,-2.07769977007825
22.26,0.0250102566232415,1.13614991219927,-2.09813720314749,0.0229423529092319,1.01941490566764,-1.77467696503876,-0.165144560545932,0.839336788590572,-1.66176810264587,0.371429381746435,1.1421117719475,-2.09726253522273
22.265,0.0227491254374652,1.13854354584332,-2.11310392215762,0.0240763792282623,1.02126058377119,-1.77472343434285,-0.164088343698226,0.841149640324735,-1.66178691114715,0.370669867413747,1.14698833522936,-2.11416109783869
22.27,0.0205386448979684,1.14024376515815,-2.12660862360563,0.0252824083754642,1.02298172300846,-1.77477363437771,-0.163042226249154,0.843009175650751,-1.66181019634366,0.369744801811213,1.15085886636425,-2.12906088459973
22.275,0.0184053039218914,1.14106909699279,-2.13779705453354,0.0265269424107694,1.02456823609077,-1.7747856679407,-0.162034949293849,0.84479597407381,-1.66187087785259,0.368849775095054,1.15365716711802,-2.14109775627306
22.28,0.0158872504019832,1.14111242092557,-2.14850299920971,0.0280592676333238,1.02644921410467,-1.77479508349395,-0.160773285823878,0.846709668909655,-1.66193552553589,0.367653590041217,1.15562191444993,-2.15237171098561
22.285,0.0132818469614465,1.14038902842614,-2.15726572880894,0.0297282906496463,1.02847490402603,-1.77490267855105,-0.159458862241995,0.848530716678573,-1.66195705365105,0.366123758200015,1.15624442508799,-2.16147791263035
22.29,0.0107921267334095,1.13899816764318,-2.16299690635606,0.0313677371164472,1.03039258551603,-1.77486481922617,-0.158205322275082,0.850407762191298,-1.66194969745596,0.36431770582681,1.15545950828745,-2.16722389077132
22.295,0.00831296964740797,1.1367493086631,-2.16581074385553,0.0329895338578183,1.0321544570664,-1.7748854463925,-0.156894126736794,0.852266072091413,-1.66199703715689,0.362173290086356,1.15336560965845,-2.16976546863524
22.3,0.0057501829319391,1.13357114071571,-2.16611473579035,0.0347442197650922,1.03392387290961,-1.77496264494539,-0.155507861126027,0.854161696965037,-1.66201841831207,0.359620261022872,1.14999349501401,-2.16966712105436
22.305,0.00326046372381363,1.12995682056144,-2.16431788380852,0.0366690112742809,1.03573956115451,-1.77486247671885,-0.15411260627203,0.856275953288304,-1.66204612907156,0.356768780321309,1.14535046428414,-2.16726977319364
22.31,0.00102405450783872,1.12603479916448,-2.16046880655086,0.0385586014401858,1.03757756476202,-1.77479612827301,-0.152806540170484,0.858410169362551,-1.6621359315227,0.35377372455046,1.13968726423999,-2.16259191771709
22.315,-0.00100299330790604,1.12120927264541,-2.15478857274884,0.0403782654365814,1.03936777941769,-1.77476461305433,-0.151640888646434,0.860624579406894,-1.66216331476096,0.350594259821576,1.13320695872242,-2.15579971991907
22.32,-0.00303498037439458,1.11442517876392,-2.14639348546804,0.0422663867310072,1.04102721954678,-1.77469803283248,-0.150499528920138,0.862879472964808,-1.66220837487565,0.346964010845284,1.12512366613865,-2.14601796124303
22.325,-0.00497259746863543,1.10687404076378,-2.13667938859075,0.0439257251200262,1.04243775317982,-1.77469117641449,-0.149457884903926,0.864859915388203,-1.66228632607816,0.34333758875229,1.11640885033467,-2.1350609903308
22.33,-0.00714883638702053,1.09767467726958,-2.12437708893113,0.0456071824772388,1.04390754366926,-1.77469906252039,-0.148369897791293,0.866864072822769,-1.66238071643939,0.338994126037283,1.10571989371971,-2.12208033062932
22.335,-0.00925806123766084,1.08788321910193,-2.11103364981511,0.0471628016609633,1.04517650062578,-1.77470777668122,-0.147415446718358,0.868560157398925,-1.6624415497216,0.334434522652606,1.09435793140879,-2.10816577964965
22.34,-0.0113821928677949,1.07641964916849,-2.09559186113267,0.0487970909049943,1.04648471686724,-1.77464843921668,-0.146437621494289,0.870241293671103,-1.66240968076858,0.32942427837354,1.08124066364927,-2.0906017969376
22.345,-0.0134434966276775,1.06413145524615,-2.07860513473652,0.050411552130913,1.04789412833161,-1.77441446366648,-0.145449351156605,0.872122753507501,-1.66243974551628,0.324321241725539,1.06733304370786,-2.07074419824125
22.35,-0.0153220468688671,1.05248595800964,-2.06152715074891,0.0518961928610399,1.04922732783195,-1.77430228305777,-0.144669165864223,0.873900698709987,-1.66249832456037,0.319727225014556,1.05389064576484,-2.05122388137259
22.355,-0.0172518965282951,1.04066771240325,-2.04372117756834,0.0533314768925383,1.05064372591898,-1.77422192871618,-0.143879987405269,0.875573402239049,-1.66252122840622,0.315211285509641,1.03985472168168,-2.03098685780971
22.36,-0.0193609685202437,1.02861678496457,-2.02509456669995,0.0547103413113108,1.05215958229928,-1.77396884402184,-0.142978142035742,0.877503763008925,-1.66257787268283,0.310443255904214,1.0252558204525,-2.01011956144489
22.365,-0.0216032806775328,1.01624372240073,-2.00566348478655,0.0560552248396842,1.05362788774124,-1.77383492045477,-0.142070639543211,0.879534275307836,-1.66265655923719,0.305430950622477,1.01042060175354,-1.98873148951508
